latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
40.77329075,-73.91629699,14,1,0.15,1,0,40
40.78020382,-73.90913081,7,1,0.05,1,0,150
40.77462651,-73.90836949,1,0,,1,43,75
40.77113875,-73.90968262,6,1,0.13,8,351,50
40.77376216,-73.91854804,1,95,3.07,4,299,50
40.77617933,-73.91130276,1,0,,1,351,99
40.77398614,-73.89049531,2,2,0.9,1,85,75
40.77348979,-73.91660996,1,1,0.16,2,363,120
40.7802781,-73.9147655,3,5,0.67,1,365,90
40.77849156,-73.90580931,1,75,4.82,1,315,83
40.77672906,-73.90992545,10,2,0.19,2,305,40
40.7716298,-73.91587246,1,11,1.12,1,9,50
40.77513533,-73.9079782,4,0,,3,89,125
40.78031662,-73.91208425,3,0,,1,364,75
40.77686681,-73.90385944,15,0,,1,0,30
40.77171541,-73.91768836,1,0,,1,0,200
40.7755991,-73.90800593,4,0,,3,89,125
40.77176149,-73.90885456,3,0,,1,0,75
40.78261274,-73.91451975,1,0,,1,0,54
40.7827439,-73.91317926,2,18,1.5,1,295,175
40.78080163,-73.91024629,3,0,,2,362,60
40.77120539,-73.91709902,3,3,0.48,1,0,70
40.76982126,-73.90762031,1,33,2.23,6,142,90
40.77239427,-73.89110751,7,0,,1,80,175
40.77085698,-73.90539724,1,2,2,4,10,80
40.77260223,-73.91310217,1,5,0.72,2,351,210
40.774871,-73.91196267,1,26,3.61,1,108,120
40.7773772,-73.91772428,1,1,0.5,2,365,40
40.7730197,-73.91838793,1,3,0.11,1,0,70
40.77986562,-73.915651,3,1,0.02,1,0,75
40.77444478,-73.91100103,3,0,,1,365,95
40.77832287,-73.91995491,5,0,,1,0,125
40.77582657,-73.91309702,3,0,,1,0,50
40.78192247,-73.91438736,1,0,,1,0,40
40.7764286,-73.91363515,14,0,,1,0,29
40.77728553,-73.909308,2,0,,3,89,200
40.7800017,-73.91672221,1,6,0.58,1,81,65
40.77624693,-73.91483882,3,0,,2,365,120
40.77264944,-73.91400685,1,1,0.11,1,0,100
40.58999478,-73.92566543,3,0,,2,179,300
40.58918132,-73.92549387,3,0,,2,301,300
40.58944153,-73.92745444,2,0,,1,365,125
40.82441984,-73.86193,2,6,0.58,1,0,45
40.82987393,-73.86608062,1,1,1,1,25,39
